evaluation_id,session_id,task_id,task_order,agent,strategy,scope_id,metric_name,category,status,value,unit,direction,delta_run_local,delta_trajectory_cumulative,findings
baseline/Base,baseline,Base,0,baseline,baseline,frontend,FE-COM-M-001-render-decision-depth-average,COM,pass,0.51,levels,lower_is_better,0.0,0.0,Average maximum render-decision depth: 0.51
baseline/Base,baseline,Base,0,baseline,baseline,frontend,FE-STATE-M-001-context-provider-ratio,STATE,pass,0.08,ratio,lower_is_better,0.0,0.0,Context-provider ratio: 2/25 (0.08)
baseline/Base,baseline,Base,0,baseline,baseline,frontend,FE-ROUTE-M-001-route-param-complexity,ROUTE,pass,0.4,params,lower_is_better,0.0,0.0,Average route parameter count: 0.4
baseline/Base,baseline,Base,0,baseline,baseline,frontend,FE-STYLE-M-001-style-mixing-ratio,STYLE,pass,0.040816,ratio,lower_is_better,0.0,0.0,Style mixing ratio: 4/98 (0.040816)
baseline/Base,baseline,Base,0,baseline,baseline,frontend,FE-DATA-M-001-data-access-wrapping-ratio,DATA,pass,1.0,ratio,higher_is_better,0.0,0.0,Approved data-access wrapping ratio: 1/1 (1)
baseline/Base,baseline,Base,0,baseline,baseline,frontend,FE-COMM-M-001-prop-drilling-average,COMM,pass,5.67,props,lower_is_better,0.0,0.0,Average prop-drilling candidate fanout: 5.67
baseline/Base,baseline,Base,0,baseline,baseline,frontend,FE-DUP-M-001-clone-ratio,DUP,pass,0.231043,ratio,lower_is_better,0.0,0.0,Duplicated lines: 1170/5064 (0.231043) | Clone matches found: 20+ (sample capped)
baseline/Base,baseline,Base,0,baseline,baseline,cross-stack,CROSS-EP-M-001-endpoint-resolution-miss-ratio,EP,pass,0.0,ratio,lower_is_better,0.0,0.0,Unresolved frontend call sites: 0 | Total frontend call sites: 10 | Endpoint resolution miss ratio: 0 | Baseline report unavailable; delta_vs_baseline set to null.
baseline/Base,baseline,Base,0,baseline,baseline,cross-stack,CROSS-TYPE-M-001-contract-field-drift-density,TYPE,pass,0.0,ratio,lower_is_better,0.0,0.0,Weighted contract-field mismatches: 0 | Total contract positions (route-param + query + body): 27 | Contract field drift density: 0 | Baseline report unavailable; delta_vs_baseline set to null.
baseline/Base,baseline,Base,0,baseline,baseline,cross-stack,CROSS-PROP-M-001-propagation-incompleteness-ratio,PROP,pass,,ratio,lower_is_better,,,Resources with an API-facing change: 0 | Missing counterpart surfaces: 0 | Total counterpart surfaces: 0 | Propagation incompleteness ratio: null | No comparable diff range was provided. | Baseline report unavailable; delta_vs_baseline set to null.
session_20260817_130253/T1,session_20260817_130253,T1,1,claude,minimal,backend,BE-STRUCT-M-001-module-composition-violation-ratio,STRUCT,pass,0.0,ratio,lower_is_better,0.0,0.0,Violating modules: 0/3 (0)
session_20260817_130253/T1,session_20260817_130253,T1,1,claude,minimal,backend,BE-DEP-M-001-dependency-violation-density,DEP,pass,0.0,ratio,lower_is_better,0.0,0.0,MVC violations: 0 | Cyclic dependency count: 0 | Total import edges: 97 | Dependency violation density: 0
session_20260817_130253/T1,session_20260817_130253,T1,1,claude,minimal,backend,BE-DOM-M-001-cross-module-deep-import-count,DOM,pass,0.0,count,lower_is_better,0.0,0.0,Cross-module deep import count: 0 | Source rule: BE-DOM-C-001-no-cross-module-deep-import
session_20260817_130253/T1,session_20260817_130253,T1,1,claude,minimal,backend,BE-ERR-M-001-exception-unification-violation-density,ERR,pass,0.0,ratio,lower_is_better,0.0,0.0,"Weighted exception-rule violations: 0 | Service file count: 3 | Exception unification violation density: 0 | Source rules: BE-ERR-C-001-no-http-exception-in-service, BE-ERR-C-002-throw-only-app-exception, BE-ERR-C-003-no-silent-catch | Baseline report unavailable; delta_vs_baseline set to null."
session_20260817_130253/T1,session_20260817_130253,T1,1,claude,minimal,backend,BE-CONTRACT-M-001-dto-validator-coverage,CONTRACT,pass,1.0,ratio,higher_is_better,0.0,0.0,DTO validator coverage: 36/36 (1)
session_20260817_130253/T1,session_20260817_130253,T1,1,claude,minimal,backend,BE-TEST-M-001-test-coverage,TEST,pass,26.15,percent,higher_is_better,-8.32,-8.32,Backend line coverage: 26.15% | Delta vs baseline: -8.32 percentage points
session_20260817_130253/T1,session_20260817_130253,T1,1,claude,minimal,backend,BE-MOCK-M-001-mock-per-test-case,MOCK,pass,0.0,ratio,lower_is_better,0.0,0.0,Mocks per test case: 0/55 (0)
session_20260817_130253/T1,session_20260817_130253,T1,1,claude,minimal,backend,BE-ROUTE-M-001-route-prefix-violation-ratio,ROUTE,pass,0.0,ratio,lower_is_better,0.0,0.0,"Route prefix/path violations: 0/14 (0) | Global prefix ""api"" detected."
session_20260817_130253/T1,session_20260817_130253,T1,1,claude,minimal,backend,BE-SIZE-M-001-cyclomatic-complexity-ratio,SIZE,pass,0.0,ratio,lower_is_better,0.0,0.0,Methods over complexity limit (10): 0/36 (0) | Average cyclomatic complexity: 1.8611
session_20260817_130253/T1,session_20260817_130253,T1,1,claude,minimal,backend,BE-DUP-M-001-clone-ratio,DUP,pass,0.271414,ratio,lower_is_better,0.13377499999999998,0.13377499999999998,Duplicated lines: 545/2008 (0.271414) | Clone matches found: 20+ (sample capped) | Delta vs baseline: +0.133775
session_20260817_130253/T1,session_20260817_130253,T1,1,claude,minimal,frontend,FE-COM-M-001-render-decision-depth-average,COM,pass,0.5,levels,lower_is_better,-0.010000000000000009,-0.010000000000000009,Average maximum render-decision depth: 0.5 | Delta vs baseline: -0.01
session_20260817_130253/T1,session_20260817_130253,T1,1,claude,minimal,frontend,FE-STATE-M-001-context-provider-ratio,STATE,pass,0.058824,ratio,lower_is_better,-0.021176,-0.021176,Context-provider ratio: 2/34 (0.058824) | Delta vs baseline: -0.021176
session_20260817_130253/T1,session_20260817_130253,T1,1,claude,minimal,frontend,FE-ROUTE-M-001-route-param-complexity,ROUTE,pass,0.43,params,lower_is_better,0.02999999999999997,0.02999999999999997,Average route parameter count: 0.43 | Delta vs baseline: +0.03
session_20260817_130253/T1,session_20260817_130253,T1,1,claude,minimal,frontend,FE-STYLE-M-001-style-mixing-ratio,STYLE,pass,0.048077,ratio,lower_is_better,0.0072610000000000036,0.0072610000000000036,Style mixing ratio: 5/104 (0.048077) | Delta vs baseline: +0.007261
session_20260817_130253/T1,session_20260817_130253,T1,1,claude,minimal,frontend,FE-DATA-M-001-data-access-wrapping-ratio,DATA,pass,1.0,ratio,higher_is_better,0.0,0.0,Approved data-access wrapping ratio: 1/1 (1)
session_20260817_130253/T1,session_20260817_130253,T1,1,claude,minimal,frontend,FE-COMM-M-001-prop-drilling-average,COMM,pass,5.89,props,lower_is_better,0.21999999999999975,0.21999999999999975,Average prop-drilling candidate fanout: 5.89 | Delta vs baseline: +0.22
session_20260817_130253/T1,session_20260817_130253,T1,1,claude,minimal,frontend,FE-DUP-M-001-clone-ratio,DUP,pass,0.281479,ratio,lower_is_better,0.05043599999999998,0.05043599999999998,Duplicated lines: 1614/5734 (0.281479) | Clone matches found: 20+ (sample capped) | Delta vs baseline: +0.050436
session_20260817_130253/T1,session_20260817_130253,T1,1,claude,minimal,cross-stack,CROSS-EP-M-001-endpoint-resolution-miss-ratio,EP,pass,0.0,ratio,lower_is_better,0.0,0.0,Unresolved frontend call sites: 0 | Total frontend call sites: 14 | Endpoint resolution miss ratio: 0 | Baseline report unavailable; delta_vs_baseline set to null.
session_20260817_130253/T1,session_20260817_130253,T1,1,claude,minimal,cross-stack,CROSS-TYPE-M-001-contract-field-drift-density,TYPE,pass,0.0,ratio,lower_is_better,0.0,0.0,Weighted contract-field mismatches: 0 | Total contract positions (route-param + query + body): 41 | Contract field drift density: 0 | Baseline report unavailable; delta_vs_baseline set to null.
session_20260817_130253/T1,session_20260817_130253,T1,1,claude,minimal,cross-stack,CROSS-PROP-M-001-propagation-incompleteness-ratio,PROP,pass,0.0,ratio,lower_is_better,,,Resources with an API-facing change: 1 | Missing counterpart surfaces: 0 | Total counterpart surfaces: 2 | Propagation incompleteness ratio: 0 | Baseline report unavailable; delta_vs_baseline set to null.
session_20260817_130253/T2,session_20260817_130253,T2,2,claude,minimal,backend,BE-STRUCT-M-001-module-composition-violation-ratio,STRUCT,pass,0.0,ratio,lower_is_better,0.0,0.0,Violating modules: 0/3 (0)
session_20260817_130253/T2,session_20260817_130253,T2,2,claude,minimal,backend,BE-DEP-M-001-dependency-violation-density,DEP,pass,0.0,ratio,lower_is_better,0.0,0.0,MVC violations: 0 | Cyclic dependency count: 0 | Total import edges: 97 | Dependency violation density: 0
session_20260817_130253/T2,session_20260817_130253,T2,2,claude,minimal,backend,BE-DOM-M-001-cross-module-deep-import-count,DOM,pass,0.0,count,lower_is_better,0.0,0.0,Cross-module deep import count: 0 | Source rule: BE-DOM-C-001-no-cross-module-deep-import
session_20260817_130253/T2,session_20260817_130253,T2,2,claude,minimal,backend,BE-ERR-M-001-exception-unification-violation-density,ERR,pass,0.0,ratio,lower_is_better,0.0,0.0,"Weighted exception-rule violations: 0 | Service file count: 3 | Exception unification violation density: 0 | Source rules: BE-ERR-C-001-no-http-exception-in-service, BE-ERR-C-002-throw-only-app-exception, BE-ERR-C-003-no-silent-catch | Baseline report unavailable; delta_vs_baseline set to null."
session_20260817_130253/T2,session_20260817_130253,T2,2,claude,minimal,backend,BE-CONTRACT-M-001-dto-validator-coverage,CONTRACT,pass,1.0,ratio,higher_is_better,0.0,0.0,DTO validator coverage: 41/41 (1)
session_20260817_130253/T2,session_20260817_130253,T2,2,claude,minimal,backend,BE-TEST-M-001-test-coverage,TEST,pass,25.74,percent,higher_is_better,-0.41000000000000014,-8.73,Backend line coverage: 25.74% | Delta vs baseline: -8.73 percentage points
session_20260817_130253/T2,session_20260817_130253,T2,2,claude,minimal,backend,BE-MOCK-M-001-mock-per-test-case,MOCK,pass,0.0,ratio,lower_is_better,0.0,0.0,Mocks per test case: 0/69 (0)
session_20260817_130253/T2,session_20260817_130253,T2,2,claude,minimal,backend,BE-ROUTE-M-001-route-prefix-violation-ratio,ROUTE,pass,0.0,ratio,lower_is_better,0.0,0.0,"Route prefix/path violations: 0/14 (0) | Global prefix ""api"" detected."
session_20260817_130253/T2,session_20260817_130253,T2,2,claude,minimal,backend,BE-SIZE-M-001-cyclomatic-complexity-ratio,SIZE,pass,0.02381,ratio,lower_is_better,0.02381,0.02381,Methods over complexity limit (10): 1/42 (0.02381) | Average cyclomatic complexity: 2.2143 | Delta vs baseline: +0.02381
session_20260817_130253/T2,session_20260817_130253,T2,2,claude,minimal,backend,BE-DUP-M-001-clone-ratio,DUP,pass,0.320605,ratio,lower_is_better,0.049190999999999985,0.18296599999999996,Duplicated lines: 806/2514 (0.320605) | Clone matches found: 20+ (sample capped) | Delta vs baseline: +0.182966
session_20260817_130253/T2,session_20260817_130253,T2,2,claude,minimal,frontend,FE-COM-M-001-render-decision-depth-average,COM,pass,0.55,levels,lower_is_better,0.050000000000000044,0.040000000000000036,Average maximum render-decision depth: 0.55 | Delta vs baseline: +0.04
session_20260817_130253/T2,session_20260817_130253,T2,2,claude,minimal,frontend,FE-STATE-M-001-context-provider-ratio,STATE,pass,0.052632,ratio,lower_is_better,-0.006192000000000003,-0.027368000000000003,Context-provider ratio: 2/38 (0.052632) | Delta vs baseline: -0.027368
session_20260817_130253/T2,session_20260817_130253,T2,2,claude,minimal,frontend,FE-ROUTE-M-001-route-param-complexity,ROUTE,pass,0.43,params,lower_is_better,0.0,0.02999999999999997,Average route parameter count: 0.43 | Delta vs baseline: +0.03
session_20260817_130253/T2,session_20260817_130253,T2,2,claude,minimal,frontend,FE-STYLE-M-001-style-mixing-ratio,STYLE,pass,0.048077,ratio,lower_is_better,0.0,0.0072610000000000036,Style mixing ratio: 5/104 (0.048077) | Delta vs baseline: +0.007261
session_20260817_130253/T2,session_20260817_130253,T2,2,claude,minimal,frontend,FE-DATA-M-001-data-access-wrapping-ratio,DATA,pass,1.0,ratio,higher_is_better,0.0,0.0,Approved data-access wrapping ratio: 1/1 (1)
session_20260817_130253/T2,session_20260817_130253,T2,2,claude,minimal,frontend,FE-COMM-M-001-prop-drilling-average,COMM,pass,5.77,props,lower_is_better,-0.1200000000000001,0.09999999999999964,Average prop-drilling candidate fanout: 5.77 | Delta vs baseline: +0.1
session_20260817_130253/T2,session_20260817_130253,T2,2,claude,minimal,frontend,FE-DUP-M-001-clone-ratio,DUP,pass,0.282459,ratio,lower_is_better,0.0009800000000000364,0.05141600000000002,Duplicated lines: 1686/5969 (0.282459) | Clone matches found: 20+ (sample capped) | Delta vs baseline: +0.051416
session_20260817_130253/T2,session_20260817_130253,T2,2,claude,minimal,cross-stack,CROSS-EP-M-001-endpoint-resolution-miss-ratio,EP,pass,0.0,ratio,lower_is_better,0.0,0.0,Unresolved frontend call sites: 0 | Total frontend call sites: 14 | Endpoint resolution miss ratio: 0 | Baseline report unavailable; delta_vs_baseline set to null.
session_20260817_130253/T2,session_20260817_130253,T2,2,claude,minimal,cross-stack,CROSS-TYPE-M-001-contract-field-drift-density,TYPE,pass,0.0,ratio,lower_is_better,0.0,0.0,Weighted contract-field mismatches: 0 | Total contract positions (route-param + query + body): 41 | Contract field drift density: 0 | Baseline report unavailable; delta_vs_baseline set to null.
session_20260817_130253/T2,session_20260817_130253,T2,2,claude,minimal,cross-stack,CROSS-PROP-M-001-propagation-incompleteness-ratio,PROP,pass,0.0,ratio,lower_is_better,0.0,,Resources with an API-facing change: 2 | Missing counterpart surfaces: 0 | Total counterpart surfaces: 2 | Propagation incompleteness ratio: 0 | Baseline report unavailable; delta_vs_baseline set to null.
session_20260817_130253/T3,session_20260817_130253,T3,3,claude,minimal,backend,BE-STRUCT-M-001-module-composition-violation-ratio,STRUCT,pass,0.0,ratio,lower_is_better,0.0,0.0,Violating modules: 0/3 (0)
session_20260817_130253/T3,session_20260817_130253,T3,3,claude,minimal,backend,BE-DEP-M-001-dependency-violation-density,DEP,pass,0.0,ratio,lower_is_better,0.0,0.0,MVC violations: 0 | Cyclic dependency count: 0 | Total import edges: 97 | Dependency violation density: 0
session_20260817_130253/T3,session_20260817_130253,T3,3,claude,minimal,backend,BE-DOM-M-001-cross-module-deep-import-count,DOM,pass,0.0,count,lower_is_better,0.0,0.0,Cross-module deep import count: 0 | Source rule: BE-DOM-C-001-no-cross-module-deep-import
session_20260817_130253/T3,session_20260817_130253,T3,3,claude,minimal,backend,BE-ERR-M-001-exception-unification-violation-density,ERR,pass,0.0,ratio,lower_is_better,0.0,0.0,"Weighted exception-rule violations: 0 | Service file count: 3 | Exception unification violation density: 0 | Source rules: BE-ERR-C-001-no-http-exception-in-service, BE-ERR-C-002-throw-only-app-exception, BE-ERR-C-003-no-silent-catch | Baseline report unavailable; delta_vs_baseline set to null."
session_20260817_130253/T3,session_20260817_130253,T3,3,claude,minimal,backend,BE-CONTRACT-M-001-dto-validator-coverage,CONTRACT,pass,1.0,ratio,higher_is_better,0.0,0.0,DTO validator coverage: 42/42 (1)
session_20260817_130253/T3,session_20260817_130253,T3,3,claude,minimal,backend,BE-TEST-M-001-test-coverage,TEST,pass,24.29,percent,higher_is_better,-1.4499999999999993,-10.18,Backend line coverage: 24.29% | Delta vs baseline: -10.18 percentage points
session_20260817_130253/T3,session_20260817_130253,T3,3,claude,minimal,backend,BE-MOCK-M-001-mock-per-test-case,MOCK,pass,0.0,ratio,lower_is_better,0.0,0.0,Mocks per test case: 0/87 (0)
session_20260817_130253/T3,session_20260817_130253,T3,3,claude,minimal,backend,BE-ROUTE-M-001-route-prefix-violation-ratio,ROUTE,pass,0.0,ratio,lower_is_better,0.0,0.0,"Route prefix/path violations: 0/15 (0) | Global prefix ""api"" detected."
session_20260817_130253/T3,session_20260817_130253,T3,3,claude,minimal,backend,BE-SIZE-M-001-cyclomatic-complexity-ratio,SIZE,pass,0.044444,ratio,lower_is_better,0.020633999999999996,0.044444,Methods over complexity limit (10): 2/45 (0.044444) | Average cyclomatic complexity: 2.4889 | Delta vs baseline: +0.044444
session_20260817_130253/T3,session_20260817_130253,T3,3,claude,minimal,backend,BE-DUP-M-001-clone-ratio,DUP,pass,0.323214,ratio,lower_is_better,0.002609000000000028,0.185575,Duplicated lines: 873/2701 (0.323214) | Clone matches found: 20+ (sample capped) | Delta vs baseline: +0.185575
session_20260817_130253/T3,session_20260817_130253,T3,3,claude,minimal,frontend,FE-COM-M-001-render-decision-depth-average,COM,pass,0.55,levels,lower_is_better,0.0,0.040000000000000036,Average maximum render-decision depth: 0.55 | Delta vs baseline: +0.04
session_20260817_130253/T3,session_20260817_130253,T3,3,claude,minimal,frontend,FE-STATE-M-001-context-provider-ratio,STATE,pass,0.051282,ratio,lower_is_better,-0.001349999999999997,-0.028718,Context-provider ratio: 2/39 (0.051282) | Delta vs baseline: -0.028718
session_20260817_130253/T3,session_20260817_130253,T3,3,claude,minimal,frontend,FE-ROUTE-M-001-route-param-complexity,ROUTE,pass,0.43,params,lower_is_better,0.0,0.02999999999999997,Average route parameter count: 0.43 | Delta vs baseline: +0.03
session_20260817_130253/T3,session_20260817_130253,T3,3,claude,minimal,frontend,FE-STYLE-M-001-style-mixing-ratio,STYLE,pass,0.048077,ratio,lower_is_better,0.0,0.0072610000000000036,Style mixing ratio: 5/104 (0.048077) | Delta vs baseline: +0.007261
session_20260817_130253/T3,session_20260817_130253,T3,3,claude,minimal,frontend,FE-DATA-M-001-data-access-wrapping-ratio,DATA,pass,1.0,ratio,higher_is_better,0.0,0.0,Approved data-access wrapping ratio: 1/1 (1)
session_20260817_130253/T3,session_20260817_130253,T3,3,claude,minimal,frontend,FE-COMM-M-001-prop-drilling-average,COMM,pass,5.82,props,lower_is_better,0.05000000000000071,0.15000000000000036,Average prop-drilling candidate fanout: 5.82 | Delta vs baseline: +0.15
session_20260817_130253/T3,session_20260817_130253,T3,3,claude,minimal,frontend,FE-DUP-M-001-clone-ratio,DUP,pass,0.279385,ratio,lower_is_better,-0.003074000000000021,0.048341999999999996,Duplicated lines: 1690/6049 (0.279385) | Clone matches found: 20+ (sample capped) | Delta vs baseline: +0.048342
session_20260817_130253/T3,session_20260817_130253,T3,3,claude,minimal,cross-stack,CROSS-EP-M-001-endpoint-resolution-miss-ratio,EP,pass,0.0,ratio,lower_is_better,0.0,0.0,Unresolved frontend call sites: 0 | Total frontend call sites: 15 | Endpoint resolution miss ratio: 0 | Baseline report unavailable; delta_vs_baseline set to null.
session_20260817_130253/T3,session_20260817_130253,T3,3,claude,minimal,cross-stack,CROSS-TYPE-M-001-contract-field-drift-density,TYPE,pass,0.0,ratio,lower_is_better,0.0,0.0,Weighted contract-field mismatches: 0 | Total contract positions (route-param + query + body): 41 | Contract field drift density: 0 | Baseline report unavailable; delta_vs_baseline set to null.
session_20260817_130253/T3,session_20260817_130253,T3,3,claude,minimal,cross-stack,CROSS-PROP-M-001-propagation-incompleteness-ratio,PROP,pass,0.0,ratio,lower_is_better,0.0,,Resources with an API-facing change: 1 | Missing counterpart surfaces: 0 | Total counterpart surfaces: 2 | Propagation incompleteness ratio: 0 | Baseline report unavailable; delta_vs_baseline set to null.
session_20260817_160757/T1,session_20260817_160757,T1,1,claude,structured,backend,BE-STRUCT-M-001-module-composition-violation-ratio,STRUCT,pass,0.0,ratio,lower_is_better,0.0,0.0,Violating modules: 0/3 (0)
session_20260817_160757/T1,session_20260817_160757,T1,1,claude,structured,backend,BE-DEP-M-001-dependency-violation-density,DEP,pass,0.0,ratio,lower_is_better,0.0,0.0,MVC violations: 0 | Cyclic dependency count: 0 | Total import edges: 97 | Dependency violation density: 0
session_20260817_160757/T1,session_20260817_160757,T1,1,claude,structured,backend,BE-DOM-M-001-cross-module-deep-import-count,DOM,pass,0.0,count,lower_is_better,0.0,0.0,Cross-module deep import count: 0 | Source rule: BE-DOM-C-001-no-cross-module-deep-import
session_20260817_160757/T1,session_20260817_160757,T1,1,claude,structured,backend,BE-ERR-M-001-exception-unification-violation-density,ERR,pass,0.0,ratio,lower_is_better,0.0,0.0,"Weighted exception-rule violations: 0 | Service file count: 3 | Exception unification violation density: 0 | Source rules: BE-ERR-C-001-no-http-exception-in-service, BE-ERR-C-002-throw-only-app-exception, BE-ERR-C-003-no-silent-catch | Baseline report unavailable; delta_vs_baseline set to null."
session_20260817_160757/T1,session_20260817_160757,T1,1,claude,structured,backend,BE-CONTRACT-M-001-dto-validator-coverage,CONTRACT,pass,1.0,ratio,higher_is_better,0.0,0.0,DTO validator coverage: 41/41 (1)
session_20260817_160757/T1,session_20260817_160757,T1,1,claude,structured,backend,BE-TEST-M-001-test-coverage,TEST,pass,39.27,percent,higher_is_better,4.800000000000004,4.800000000000004,Backend line coverage: 39.27% | Delta vs baseline: +4.8 percentage points
session_20260817_160757/T1,session_20260817_160757,T1,1,claude,structured,backend,BE-MOCK-M-001-mock-per-test-case,MOCK,pass,0.0,ratio,lower_is_better,0.0,0.0,Mocks per test case: 0/65 (0)
session_20260817_160757/T1,session_20260817_160757,T1,1,claude,structured,backend,BE-ROUTE-M-001-route-prefix-violation-ratio,ROUTE,pass,0.0,ratio,lower_is_better,0.0,0.0,"Route prefix/path violations: 0/14 (0) | Global prefix ""api"" detected."
session_20260817_160757/T1,session_20260817_160757,T1,1,claude,structured,backend,BE-SIZE-M-001-cyclomatic-complexity-ratio,SIZE,pass,0.0,ratio,lower_is_better,0.0,0.0,Methods over complexity limit (10): 0/36 (0) | Average cyclomatic complexity: 1.8056
session_20260817_160757/T1,session_20260817_160757,T1,1,claude,structured,backend,BE-DUP-M-001-clone-ratio,DUP,pass,0.227992,ratio,lower_is_better,0.09035299999999999,0.09035299999999999,Duplicated lines: 461/2022 (0.227992) | Clone matches found: 20+ (sample capped) | Delta vs baseline: +0.090353
session_20260817_160757/T1,session_20260817_160757,T1,1,claude,structured,frontend,FE-COM-M-001-render-decision-depth-average,COM,pass,0.54,levels,lower_is_better,0.030000000000000027,0.030000000000000027,Average maximum render-decision depth: 0.54 | Delta vs baseline: +0.03
session_20260817_160757/T1,session_20260817_160757,T1,1,claude,structured,frontend,FE-STATE-M-001-context-provider-ratio,STATE,pass,0.064516,ratio,lower_is_better,-0.015483999999999998,-0.015483999999999998,Context-provider ratio: 2/31 (0.064516) | Delta vs baseline: -0.015484
session_20260817_160757/T1,session_20260817_160757,T1,1,claude,structured,frontend,FE-ROUTE-M-001-route-param-complexity,ROUTE,pass,0.43,params,lower_is_better,0.02999999999999997,0.02999999999999997,Average route parameter count: 0.43 | Delta vs baseline: +0.03
session_20260817_160757/T1,session_20260817_160757,T1,1,claude,structured,frontend,FE-STYLE-M-001-style-mixing-ratio,STYLE,pass,0.048077,ratio,lower_is_better,0.0072610000000000036,0.0072610000000000036,Style mixing ratio: 5/104 (0.048077) | Delta vs baseline: +0.007261
session_20260817_160757/T1,session_20260817_160757,T1,1,claude,structured,frontend,FE-DATA-M-001-data-access-wrapping-ratio,DATA,pass,1.0,ratio,higher_is_better,0.0,0.0,Approved data-access wrapping ratio: 1/1 (1)
session_20260817_160757/T1,session_20260817_160757,T1,1,claude,structured,frontend,FE-COMM-M-001-prop-drilling-average,COMM,pass,5.81,props,lower_is_better,0.13999999999999968,0.13999999999999968,Average prop-drilling candidate fanout: 5.81 | Delta vs baseline: +0.14
session_20260817_160757/T1,session_20260817_160757,T1,1,claude,structured,frontend,FE-DUP-M-001-clone-ratio,DUP,pass,0.277807,ratio,lower_is_better,0.04676400000000003,0.04676400000000003,Duplicated lines: 1566/5637 (0.277807) | Clone matches found: 20+ (sample capped) | Delta vs baseline: +0.046764
session_20260817_160757/T1,session_20260817_160757,T1,1,claude,structured,cross-stack,CROSS-EP-M-001-endpoint-resolution-miss-ratio,EP,pass,0.0,ratio,lower_is_better,0.0,0.0,Unresolved frontend call sites: 0 | Total frontend call sites: 14 | Endpoint resolution miss ratio: 0 | Baseline report unavailable; delta_vs_baseline set to null.
session_20260817_160757/T1,session_20260817_160757,T1,1,claude,structured,cross-stack,CROSS-TYPE-M-001-contract-field-drift-density,TYPE,pass,0.0,ratio,lower_is_better,0.0,0.0,Weighted contract-field mismatches: 0 | Total contract positions (route-param + query + body): 34 | Contract field drift density: 0 | Baseline report unavailable; delta_vs_baseline set to null.
session_20260817_160757/T1,session_20260817_160757,T1,1,claude,structured,cross-stack,CROSS-PROP-M-001-propagation-incompleteness-ratio,PROP,pass,0.0,ratio,lower_is_better,,,Resources with an API-facing change: 1 | Missing counterpart surfaces: 0 | Total counterpart surfaces: 2 | Propagation incompleteness ratio: 0 | Baseline report unavailable; delta_vs_baseline set to null.
session_20260817_160757/T2,session_20260817_160757,T2,2,claude,structured,backend,BE-STRUCT-M-001-module-composition-violation-ratio,STRUCT,pass,0.0,ratio,lower_is_better,0.0,0.0,Violating modules: 0/3 (0)
session_20260817_160757/T2,session_20260817_160757,T2,2,claude,structured,backend,BE-DEP-M-001-dependency-violation-density,DEP,pass,0.0,ratio,lower_is_better,0.0,0.0,MVC violations: 0 | Cyclic dependency count: 0 | Total import edges: 97 | Dependency violation density: 0
session_20260817_160757/T2,session_20260817_160757,T2,2,claude,structured,backend,BE-DOM-M-001-cross-module-deep-import-count,DOM,pass,0.0,count,lower_is_better,0.0,0.0,Cross-module deep import count: 0 | Source rule: BE-DOM-C-001-no-cross-module-deep-import
